group number,db_list.c,pictDB.h,pictDB_server.c:handle_list_call,pictDB_server.c:handle_read_call,pictDB_server.c:handle_insert_call,pictDB_server.c:handle_delete_call,pictDB_server.c:event_handler,pictDB_server.c:server_startup,pictDB_server.c:server_shutdown,pictDB_server.c:main(),pictDB_server.c:reste (fonctions/variables générales; erreurs),pictDB_server.c:modularisation,Makefile,astyle,bonus/malus,TOTAL
,9,4,5,15,10,5,5,3,3,5,3,3,2,1,3,76
team-c-la-vie,8.75,4,4.5,15,10,5,5,3,3,5,2.5,3,2,0.5,1.5,72.75
