group number,db_create.c,db_utils.c,pictDB.h,pictDBM.c,image_content.h,image_content.c:shrink_value,image_content.c:lazy_resize core,image_content.c:create_resized_img,dedup.h,dedup.c,Makefile,astyle
,2,4,3,11,3,2,3,15,3,8,2,2
team-c-la-vie,2,3,3,10.5,3,2,3,15,3,8,2,2
